project_name,cbo,wmc,dit,rfc,lcom,totalMethods,staticMethods,publicMethods,privateMethods,protectedMethods,defaultMethods,abstractMethods,finalMethods,synchronizedMethods,totalFields,staticFields,publicFields,privateFields,protectedFields,defaultFields,finalFields,synchronizedFields,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocks,anonymousClassesQty,subClassesQty,lambdasQty,uniqueWordsQty,modifiers
apache-isis,132.0,330.0,98.0,182.0,15367.0,178.0,49.0,128.0,48.0,21.0,17.0,9.0,7.0,6.0,38.0,38.0,38.0,34.0,19.0,0.0,38.0,0.0,170.0,1218.0,230.0,32.0,39.0,10.0,13.0,319.0,239.0,122.0,34.0,106.0,8.0,24.0,119.0,26.0,1284.0,1025.0
apache-jackrabbit-filevault,67.0,239.0,6.0,194.0,618.0,53.0,31.0,42.0,21.0,18.0,4.0,10.0,2.0,2.0,76.0,76.0,76.0,27.0,16.0,0.0,76.0,0.0,164.0,1090.0,88.0,22.0,45.0,24.0,40.0,409.0,209.0,207.0,40.0,123.0,8.0,7.0,7.0,6.0,380.0,1025.0
apache-incubator-datasketches-java,28.0,160.0,6.0,107.0,2701.0,74.0,46.0,63.0,22.0,12.0,0.0,29.0,10.0,1.0,33.0,33.0,13.0,25.0,8.0,0.0,22.0,0.0,192.0,5858.0,51.0,37.0,57.0,32.0,128.0,92.0,6625.0,352.0,113.0,318.0,5.0,2.0,3.0,6.0,550.0,1025.0
apache-sling-org-apache-sling-resourceresolver,41.0,474.0,4.0,184.0,5752.0,116.0,15.0,91.0,36.0,19.0,0.0,1.0,2.0,1.0,90.0,68.0,21.0,24.0,68.0,0.0,64.0,0.0,64.0,1737.0,132.0,25.0,122.0,38.0,61.0,746.0,237.0,369.0,52.0,202.0,8.0,18.0,5.0,3.0,787.0,1025.0
codecentric-spring-boot-admin,37.0,41.0,5.0,74.0,289.0,27.0,26.0,20.0,17.0,18.0,0.0,4.0,2.0,0.0,16.0,12.0,12.0,16.0,0.0,0.0,14.0,0.0,59.0,357.0,30.0,2.0,4.0,3.0,9.0,163.0,25.0,39.0,24.0,39.0,4.0,4.0,14.0,36.0,146.0,1025.0
dropwizard-metrics,29.0,73.0,11.0,79.0,585.0,47.0,10.0,47.0,18.0,10.0,1.0,8.0,0.0,6.0,33.0,29.0,11.0,33.0,4.0,0.0,33.0,0.0,33.0,563.0,31.0,18.0,7.0,6.0,14.0,170.0,121.0,66.0,15.0,66.0,5.0,10.0,15.0,20.0,221.0,1025.0
apache-activemq-artemis,196.0,710.0,13.0,780.0,122716.0,641.0,327.0,280.0,52.0,131.0,42.0,63.0,108.0,69.0,185.0,185.0,140.0,147.0,43.0,0.0,141.0,0.0,418.0,4586.0,384.0,225.0,191.0,121.0,124.0,1393.0,2754.0,1442.0,213.0,1060.0,10.0,29.0,15.0,51.0,1182.0,1025.0
apache-deltaspike,69.0,133.0,11.0,115.0,1431.0,54.0,26.0,54.0,16.0,16.0,2.0,30.0,1.0,4.0,22.0,10.0,6.0,21.0,14.0,0.0,11.0,0.0,67.0,703.0,45.0,29.0,38.0,12.0,20.0,143.0,86.0,97.0,30.0,92.0,10.0,9.0,60.0,1.0,425.0,1025.0
dropwizard-dropwizard,63.0,118.0,13.0,128.0,6903.0,118.0,14.0,117.0,8.0,14.0,3.0,6.0,2.0,2.0,39.0,10.0,6.0,39.0,12.0,0.0,15.0,0.0,1181.0,1102.0,47.0,5.0,12.0,10.0,12.0,345.0,1215.0,149.0,72.0,144.0,6.0,4.0,13.0,11.0,318.0,1025.0
facebook-react-native-fbsdk,37.0,55.0,4.0,84.0,190.0,20.0,20.0,19.0,7.0,2.0,0.0,0.0,0.0,0.0,4.0,2.0,2.0,2.0,0.0,0.0,3.0,0.0,44.0,282.0,21.0,6.0,2.0,2.0,0.0,87.0,4.0,49.0,0.0,44.0,2.0,3.0,2.0,0.0,314.0,1025.0
rest-assured-rest-assured,58.0,171.0,5.0,166.0,8086.0,140.0,92.0,136.0,24.0,6.0,6.0,2.0,1.0,1.0,23.0,23.0,20.0,23.0,11.0,0.0,23.0,0.0,199.0,1299.0,138.0,9.0,19.0,20.0,10.0,731.0,47.0,139.0,46.0,131.0,5.0,29.0,2.0,25.0,659.0,1025.0
apache-incubator-druid,137.0,504.0,97.0,423.0,70276.0,377.0,44.0,377.0,36.0,29.0,8.0,20.0,6.0,6.0,63.0,63.0,63.0,41.0,15.0,0.0,63.0,0.0,3011.0,14314.0,106.0,98.0,65.0,38.0,83.0,6600.0,2185.0,611.0,240.0,599.0,10.0,27.0,89.0,49.0,729.0,1025.0
apache-activemq,109.0,574.0,17.0,472.0,39489.0,287.0,68.0,241.0,33.0,44.0,1.0,15.0,16.0,21.0,119.0,46.0,45.0,111.0,36.0,0.0,46.0,0.0,130.0,3354.0,165.0,72.0,73.0,116.0,109.0,1244.0,366.0,507.0,321.0,389.0,9.0,29.0,25.0,32.0,862.0,1025.0
redisson-redisson,153.0,347.0,7.0,233.0,24412.0,225.0,12.0,211.0,21.0,23.0,1.0,6.0,7.0,2.0,308.0,55.0,11.0,62.0,26.0,0.0,60.0,0.0,247.0,2759.0,211.0,31.0,110.0,35.0,92.0,1218.0,819.0,356.0,99.0,308.0,6.0,24.0,25.0,53.0,386.0,1025.0
jakewharton-butterknife,84.0,230.0,6.0,229.0,958.0,45.0,37.0,23.0,39.0,2.0,0.0,1.0,1.0,1.0,28.0,28.0,1.0,28.0,0.0,0.0,27.0,0.0,128.0,1230.0,62.0,38.0,47.0,18.0,6.0,683.0,93.0,290.0,43.0,215.0,5.0,9.0,15.0,20.0,318.0,1025.0
aws-aws-sdk-java,2915.0,1017.0,65.0,2969.0,434778.0,946.0,59.0,944.0,67.0,26.0,0.0,10.0,410.0,8.0,85.0,85.0,77.0,85.0,19.0,0.0,85.0,0.0,294.0,13639.0,934.0,84.0,507.0,821.0,168.0,831.0,232.0,3295.0,169.0,2061.0,16.0,410.0,49.0,6.0,1884.0,1025.0
apache-lucene-solr,299.0,1262.0,158.0,504.0,18445.0,195.0,136.0,191.0,72.0,73.0,28.0,24.0,31.0,50.0,93.0,93.0,92.0,90.0,36.0,0.0,92.0,0.0,2056.0,40811.0,201.0,173.0,412.0,70.0,519.0,40399.0,4810.0,1727.0,1091.0,1358.0,13.0,112.0,135.0,72.0,1367.0,1025.0
facebook-facebook-android-sdk,68.0,277.0,10.0,211.0,3993.0,90.0,90.0,76.0,36.0,34.0,0.0,3.0,32.0,8.0,112.0,112.0,97.0,61.0,7.0,0.0,112.0,0.0,119.0,1312.0,118.0,35.0,38.0,29.0,28.0,150.0,497.0,200.0,68.0,165.0,7.0,16.0,15.0,0.0,623.0,1025.0
oracle-spacewalk-selinux,136.0,459.0,11.0,471.0,13510.0,165.0,163.0,156.0,23.0,17.0,0.0,11.0,11.0,4.0,93.0,91.0,90.0,57.0,25.0,0.0,91.0,0.0,338.0,2508.0,173.0,55.0,47.0,34.0,60.0,634.0,153.0,489.0,114.0,439.0,8.0,15.0,3.0,0.0,980.0,1025.0
havarunner-havarunner,14.0,16.0,7.0,20.0,78.0,13.0,13.0,11.0,3.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,1.0,2.0,3.0,0.0,3.0,0.0,12.0,167.0,7.0,3.0,2.0,1.0,0.0,6.0,14.0,12.0,2.0,12.0,2.0,6.0,9.0,0.0,95.0,1024.0
google-gitiles,63.0,110.0,7.0,109.0,1663.0,62.0,17.0,60.0,19.0,25.0,0.0,1.0,1.0,10.0,18.0,11.0,5.0,15.0,6.0,0.0,18.0,0.0,191.0,768.0,53.0,14.0,15.0,8.0,6.0,530.0,81.0,69.0,14.0,57.0,5.0,5.0,4.0,22.0,222.0,1025.0
fullwall-Citizens,37.0,93.0,5.0,115.0,942.0,48.0,27.0,44.0,19.0,9.0,0.0,6.0,1.0,1.0,18.0,9.0,9.0,10.0,7.0,0.0,10.0,0.0,151.0,725.0,38.0,10.0,16.0,4.0,13.0,277.0,125.0,95.0,67.0,50.0,8.0,6.0,3.0,0.0,226.0,1025.0
apache-openmeetings,88.0,164.0,25.0,174.0,4279.0,94.0,93.0,93.0,29.0,19.0,2.0,4.0,4.0,2.0,142.0,142.0,95.0,47.0,7.0,0.0,95.0,0.0,136.0,1182.0,64.0,13.0,16.0,7.0,10.0,201.0,69.0,179.0,25.0,142.0,8.0,27.0,14.0,25.0,366.0,1025.0
apache-qpid-jms,85.0,396.0,10.0,255.0,17955.0,190.0,18.0,181.0,69.0,30.0,1.0,3.0,16.0,7.0,59.0,32.0,30.0,41.0,16.0,0.0,32.0,0.0,218.0,3083.0,197.0,24.0,45.0,107.0,85.0,384.0,714.0,637.0,60.0,630.0,9.0,55.0,7.0,21.0,512.0,1025.0
apache-tomcat,85.0,1013.0,77.0,523.0,50778.0,325.0,54.0,303.0,112.0,44.0,13.0,19.0,53.0,46.0,153.0,153.0,153.0,136.0,98.0,0.0,153.0,0.0,317.0,4330.0,313.0,124.0,120.0,192.0,235.0,961.0,1680.0,618.0,103.0,396.0,13.0,16.0,44.0,13.0,1058.0,1025.0
hazelcast-hazelcast,719.0,848.0,59.0,839.0,11557.0,827.0,141.0,826.0,95.0,93.0,14.0,130.0,30.0,6.0,463.0,463.0,463.0,48.0,33.0,0.0,463.0,0.0,1978.0,6501.0,170.0,120.0,50.0,29.0,82.0,1740.0,5703.0,2374.0,160.0,2373.0,7.0,71.0,59.0,405.0,1030.0,1025.0
querydsl-querydsl,158.0,259.0,28.0,510.0,20098.0,201.0,161.0,192.0,20.0,70.0,0.0,15.0,67.0,1.0,79.0,59.0,42.0,71.0,18.0,0.0,59.0,0.0,229.0,1803.0,190.0,45.0,38.0,18.0,16.0,460.0,394.0,226.0,76.0,212.0,13.0,11.0,13.0,0.0,398.0,1025.0
codenvy-legacy-che-plugins,209.0,4051.0,124.0,528.0,147153.0,543.0,87.0,430.0,176.0,359.0,0.0,40.0,179.0,39.0,1039.0,1024.0,870.0,65.0,68.0,0.0,1024.0,0.0,1051.0,18527.0,1031.0,235.0,1408.0,145.0,738.0,3856.0,4180.0,5464.0,1233.0,3285.0,13.0,20.0,122.0,7.0,2080.0,1025.0
oracle-oci-java-sdk,1060.0,1052.0,6.0,552.0,15753.0,212.0,31.0,191.0,24.0,16.0,0.0,2.0,0.0,11.0,41.0,38.0,24.0,19.0,8.0,0.0,34.0,0.0,521.0,13546.0,345.0,13.0,344.0,11.0,344.0,183.0,51.0,1387.0,33.0,1214.0,5.0,344.0,4.0,344.0,695.0,1025.0
