project_name,project_version,agglo_accuracy,bunch_accuracy,algo_choice
facebook-litho,v2020.07.06.00,0.8925950633755837,0.4956637758505671,agglo
facebook-litho,v2020.07.13.00,0.8945963975983989,0.5290193462308206,agglo
facebook-litho,v2020.07.20.00,0.8932621747831888,0.362241494329553,agglo
facebook-react-native-fbsdk,0.6.1,0.9523809523809523,0.7619047619047619,agglo
facebook-react-native-fbsdk,0.6.2,0.9523809523809523,0.7142857142857143,agglo
facebook-react-native-fbsdk,0.6.3,0.9523809523809523,0.8571428571428572,agglo
facebook-react-native-fbsdk,0.7.0,0.9523809523809523,0.8571428571428572,agglo
facebook-react-native-fbsdk,0.8.0,0.9523809523809523,0.8571428571428572,agglo
facebook-react-native-fbsdk,0.9.0,0.9523809523809523,0.8571428571428572,agglo
facebook-react-native-fbsdk,v0.10.0,0.9523809523809523,0.9047619047619048,agglo
facebook-react-native-fbsdk,v0.10.1,0.9523809523809523,0.8571428571428572,agglo
facebook-react-native-fbsdk,v0.10.2,0.9523809523809523,0.9047619047619048,agglo
facebook-react-native-fbsdk,v0.10.3,0.9523809523809523,0.8571428571428572,agglo
google-cdep,0.8.27,0.8829787234042553,0.6223404255319149,agglo
google-cdep,0.8.28,0.8829787234042553,0.6542553191489362,agglo
google-cdep,0.8.29,0.8829787234042553,0.574468085106383,agglo
google-cdep,0.8.30,0.8829787234042553,0.5372340425531915,agglo
google-cdep,0.8.31,0.8829787234042553,0.5851063829787234,agglo
google-cdep,0.8.5,0.8936170212765957,0.6117021276595744,agglo
google-cdep,0.8.6,0.9095744680851063,0.574468085106383,agglo
google-cdep,0.8.7,0.898936170212766,0.6117021276595744,agglo
google-cdep,0.8.8,0.898936170212766,0.6329787234042553,agglo
google-cdep,0.8.9,0.898936170212766,0.5638297872340425,agglo
google-dagger,dagger-2.28.2,0.8887832699619772,0.4610266159695817,agglo
google-dagger,dagger-2.28.3,0.8868821292775666,0.40494296577946765,agglo
google-dagger,dagger-2.3,0.9600760456273765,0.7946768060836502,agglo
google-dagger,dagger-2.4,0.9619771863117871,0.7946768060836502,agglo
google-dagger,dagger-2.5,0.9610266159695817,0.7557034220532319,agglo
google-dagger,dagger-2.6,0.9572243346007605,0.7633079847908746,agglo
google-dagger,dagger-2.6.1,0.9553231939163498,0.7585551330798479,agglo
google-dagger,dagger-2.7,0.9581749049429658,0.752851711026616,agglo
google-dagger,dagger-2.8,0.9562737642585551,0.7319391634980988,agglo
google-dagger,dagger-2.9,0.9581749049429658,0.6948669201520912,agglo
google-error-prone,v2.1.1,0.9185733512786003,0.32772543741588156,agglo
google-error-prone,v2.1.2,0.9192462987886945,0.34993270524899056,agglo
google-error-prone,v2.1.3,0.9172274562584118,0.3270524899057874,agglo
google-error-prone,v2.2.0,0.9104979811574697,0.3001345895020189,agglo
google-error-prone,v2.3.0,0.8162853297442799,0.4205921938088829,agglo
google-error-prone,v2.3.1,0.8129205921938089,0.417900403768506,agglo
google-error-prone,v2.3.2,0.8082099596231493,0.31292059219380886,agglo
google-error-prone,v2.3.3,0.8183041722745625,0.3041722745625841,agglo
google-error-prone,v2.3.4,0.819650067294751,0.20659488559892325,agglo
google-error-prone,v2.4.0,0.7523553162853298,0.20188425302826385,agglo
google-gitiles,v0.2-9,0.952,0.76,agglo
google-gitiles,v0.3,0.952,0.768,agglo
google-gitiles,v0.3-1,0.952,0.744,agglo
google-gitiles,v0.3-2,0.952,0.752,agglo
google-gitiles,v0.3-3,0.9359999999999999,0.776,agglo
google-gitiles,v0.3-4,0.9359999999999999,0.768,agglo
google-gitiles,v0.3-5,0.9359999999999999,0.768,agglo
google-gitiles,v0.3-6,0.944,0.752,agglo
google-gitiles,v0.3-7,0.9359999999999999,0.752,agglo
google-gitiles,v0.4,0.9359999999999999,0.784,agglo
google-openrtb,1.5.11,0.8181818181818181,0.8636363636363636,bunch
google-openrtb,1.5.12,0.8181818181818181,0.7954545454545454,agglo
google-openrtb,1.5.2,0.8181818181818181,0.8863636363636364,bunch
google-openrtb,1.5.3,0.8181818181818181,0.8181818181818181,bunch
google-openrtb,1.5.4,0.8181818181818181,0.8863636363636364,bunch
google-openrtb,1.5.5,0.8181818181818181,0.9090909090909091,bunch
google-openrtb,1.5.6,0.8181818181818181,0.8863636363636364,bunch
google-openrtb,1.5.7,0.8181818181818181,0.9090909090909091,bunch
google-openrtb,1.5.8,0.8181818181818181,0.8636363636363636,bunch
google-openrtb,1.5.9,0.8181818181818181,0.8863636363636364,bunch
google-openrtb-doubleclick,1.5.14,0.8571428571428572,0.4285714285714286,agglo
google-openrtb-doubleclick,1.5.15,0.8571428571428572,0.4285714285714286,agglo
google-openrtb-doubleclick,1.5.16,0.8571428571428572,0.45238095238095233,agglo
google-openrtb-doubleclick,1.5.3,0.8333333333333334,0.8095238095238095,agglo
google-openrtb-doubleclick,1.5.4,0.8333333333333334,0.7619047619047619,agglo
google-openrtb-doubleclick,1.5.5,0.8571428571428572,0.6428571428571428,agglo
google-openrtb-doubleclick,1.5.6,0.8571428571428572,0.5714285714285714,agglo
google-openrtb-doubleclick,1.5.7,0.8571428571428572,0.6428571428571428,agglo
google-openrtb-doubleclick,1.5.8,0.8571428571428572,0.5952380952380952,agglo
google-openrtb-doubleclick,1.5.9,0.8571428571428572,0.5952380952380952,agglo
grpc-grpc-java,v1.30.1,0.9619852164730729,0.4044350580781415,agglo
grpc-grpc-java,v1.30.2,0.9619852164730729,0.2291446673706441,agglo
grpc-grpc-java,v1.4.0,0.9450897571277719,0.6103484688489969,agglo
grpc-grpc-java,v1.5.0,0.9493136219640972,0.6124604012671595,agglo
grpc-grpc-java,v1.6.1,0.9503695881731784,0.6019007391763463,agglo
grpc-grpc-java,v1.7.0,0.9503695881731784,0.6462513199577613,agglo
grpc-grpc-java,v1.7.1,0.9503695881731784,0.5512143611404435,agglo
grpc-grpc-java,v1.8.0,0.9472016895459345,0.5543822597676875,agglo
grpc-grpc-java,v1.9.0,0.9450897571277719,0.5195353748680043,agglo
grpc-grpc-java,v1.9.1,0.9450897571277719,0.5543822597676875,agglo
havarunner-havarunner,0.8.4,0.9047619047619048,0.38095238095238093,agglo
havarunner-havarunner,0.8.5,0.9047619047619048,0.38095238095238093,agglo
havarunner-havarunner,0.8.6,0.9047619047619048,0.33333333333333337,agglo
havarunner-havarunner,0.8.7,0.9047619047619048,0.3571428571428571,agglo
