project_name,project_link,version_name,commit,timestamp
Beam,https://github.com/apache/beam,v2.27.0-RC4,"Commit(sha=""ef9a640dd2860b0d1a630b1c11111876f8855528"")",6/1/2021 3:50
Beam,https://github.com/apache/beam,v2.27.0-RC3,"Commit(sha=""66ea09562a35b352976bc96acd280ec318926605"")",2/1/2021 22:27
Atmosphere,https://github.com/Atmosphere/atmosphere,default/master,"Commit(sha=""4a86d0eb48bd2f9607b50f2e485de8226afdc081"")",29/5/2012 12:48
Atmosphere,https://github.com/Atmosphere/atmosphere,atmosphere-project-3.0.0-beta1,"Commit(sha=""abcdd376721d60afc7ca9554badf9b8fbe17dc67"")",27/2/2018 17:45
Atmosphere,https://github.com/Atmosphere/atmosphere,atmosphere-project-3.0.0-alpha2,"Commit(sha=""40ac0561ed8de5e4a30c9e2ec38ac5e95a6b2a47"")",29/8/2017 14:07
Atmosphere,https://github.com/Atmosphere/atmosphere,atmosphere-project-3.0.0-alpha1,"Commit(sha=""8858ee986ddef69cdc6768dadbd3af257d301fa3"")",10/2/2017 0:01
Atmosphere,https://github.com/Atmosphere/atmosphere,atmosphere-project-2.7.2,"Commit(sha=""81e4efe5f2478b3ac5451e3cf05857fe2b3b90f4"")",10/5/2021 21:43
Atmosphere,https://github.com/Atmosphere/atmosphere,atmosphere-project-2.7.1,"Commit(sha=""fe170318027c4712db0acd247d908b629da9d71e"")",3/5/2021 13:53
Atmosphere,https://github.com/Atmosphere/atmosphere,atmosphere-project-2.7.0,"Commit(sha=""4f61abe4a261f65226fd1a4ec3d01bec8f7f7c9e"")",2/4/2021 17:06
Atmosphere,https://github.com/Atmosphere/atmosphere,atmosphere-project-2.6.4,"Commit(sha=""dacb001be13a8f7762406a194c9dee1bf8d949d0"")",16/10/2020 20:39
Atmosphere,https://github.com/Atmosphere/atmosphere,atmosphere-project-2.6.3,"Commit(sha=""0ea65c122ad35e6ffdf050f4470a8fb965aa2e00"")",21/9/2020 13:17
Atmosphere,https://github.com/Atmosphere/atmosphere,atmosphere-project-2.6.2,"Commit(sha=""2a7aa8d22f7c95d8b65f7ccef33be9f3ef42f592"")",17/9/2020 13:11
Atmosphere,https://github.com/Atmosphere/atmosphere,atmosphere-project-2.6.1,"Commit(sha=""1c57aca65050a5025de92de866d6a194f15df1cc"")",25/6/2020 19:21
Atmosphere,https://github.com/Atmosphere/atmosphere,atmosphere-project-2.6.0,"Commit(sha=""576713fba120e60c256928835ac6d108d5432e60"")",11/5/2020 14:18
Assertj-core,https://github.com/assertj/assertj-core,assertj-core-java8-1.0.0m1,"Commit(sha=""c17da26e6339d96667808d4a2b7ea08a756348ca"")",2/1/2015 22:17
Assertj-core,https://github.com/assertj/assertj-core,assertj-core-3.20.2,"Commit(sha=""089086c5f013582a1c81a76f9c5eaa4a240e5ad3"")",20/6/2021 4:16
Assertj-core,https://github.com/assertj/assertj-core,assertj-core-3.20.1,"Commit(sha=""fc6c3b5b2e7dd8d3f1049efa366bb2878acaac3e"")",16/6/2021 10:11
Assertj-core,https://github.com/assertj/assertj-core,assertj-core-3.20.0,"Commit(sha=""0e799710b37250474a607cbfd63886e88daf2efe"")",15/6/2021 16:05
Assertj-core,https://github.com/assertj/assertj-core,assertj-core-3.19.0,"Commit(sha=""54e2bcae01429f43fdc135e36e4ccc2349e52da7"")",24/1/2021 5:02
Assertj-core,https://github.com/assertj/assertj-core,assertj-core-3.18.1,"Commit(sha=""5cbaded0a80ea44765d656d4b535a384be7b309b"")",11/11/2020 5:19
Assertj-core,https://github.com/assertj/assertj-core,assertj-core-3.18.0,"Commit(sha=""82da23e3c321e7bc5bcf04b2e697b3e23ff5c6c4"")",25/10/2020 9:56
Assertj-core,https://github.com/assertj/assertj-core,assertj-core-3.17.2,"Commit(sha=""3f654ef0d30225e3d820967f478c5582fba82121"")",5/9/2020 23:24
Assertj-core,https://github.com/assertj/assertj-core,assertj-core-3.17.1,"Commit(sha=""0ca7f6edd5d76f0a0b60ba534f0e53e81f2de80d"")",30/8/2020 4:43
Assertj-core,https://github.com/assertj/assertj-core,assertj-core-3.17.0,"Commit(sha=""5238cf24b7757b65fb78e9eb96ca8c9b21b04cde"")",23/8/2020 3:50
Assertj-core,https://github.com/assertj/assertj-core,assertj-core-3.16.1,"Commit(sha=""ade35d48c80cacf6cad949c4d5146aa52f6de89b"")",8/5/2020 22:44
Assertj-core,https://github.com/assertj/assertj-core,assertj-core-3.16.0,"Commit(sha=""ed104ac582301e1f75dc77a6c50d1e0831935e5f"")",5/5/2020 9:51
AxonFramework,https://github.com/AxonFramework/AxonFramework,axon-server-connector-4.3.5-beta2,"Commit(sha=""c55b266db5716e6f04cf700997ceb47276c9e214"")",20/7/2020 8:05
AxonFramework,https://github.com/AxonFramework/AxonFramework,axon-server-connector-4.3.5-beta1,"Commit(sha=""781a8ff203f09dc1a2e200cf8232e678dfe2670f"")",15/7/2020 12:43
AxonFramework,https://github.com/AxonFramework/AxonFramework,axon-4.5.3,"Commit(sha=""58f6f20c32b7e8a580756a52f0b8cd218df38827"")",15/7/2021 14:47
AxonFramework,https://github.com/AxonFramework/AxonFramework,axon-4.5.2,"Commit(sha=""3d1d238b529073cd43832dcfcc1a07b6e9824cf0"")",15/6/2021 16:22
AxonFramework,https://github.com/AxonFramework/AxonFramework,axon-4.5.1,"Commit(sha=""665a1abd794a91fff4f7f0ec0be67bdb3947f5d4"")",20/5/2021 7:52
AxonFramework,https://github.com/AxonFramework/AxonFramework,axon-4.5,"Commit(sha=""f9d613cd7c0551993c0090f0da629610e47ad7ee"")",30/3/2021 11:34
AxonFramework,https://github.com/AxonFramework/AxonFramework,axon-4.4.9,"Commit(sha=""3dd9c43707d3769f3147ffcea4de0eceb22cf4f0"")",18/5/2021 10:02
AxonFramework,https://github.com/AxonFramework/AxonFramework,axon-4.4.8,"Commit(sha=""d210f59b0f6bb10a258939e653bae6d035529870"")",23/3/2021 14:21
AxonFramework,https://github.com/AxonFramework/AxonFramework,axon-4.4.7,"Commit(sha=""0e4857456f58bb0ab5fd5b95c9abaf28651e0b6d"")",10/2/2021 15:51
