project_name,project_version,cbo,wmc,dit,rfc,lcom,totalMethods,staticMethods,publicMethods,privateMethods,protectedMethods,defaultMethods,abstractMethods,finalMethods,synchronizedMethods,totalFields,staticFields,publicFields,privateFields,protectedFields,defaultFields,finalFields,synchronizedFields,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocks,anonymousClassesQty,subClassesQty,lambdasQty,uniqueWordsQty,modifiers
Jotschi-maven-release-workflow-test,v1.0-130,54.0,62.0,54.0,17.0,35.0,58.0,2.0,58.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,318.0,1.0,0.0,0.0,2.0,0.0,25.0,8.0,4.0,5.0,4.0,2.0,0.0,0.0,0.0,230.0,1053.0
Jotschi-maven-release-workflow-test,v1.0-131,54.0,62.0,54.0,17.0,35.0,58.0,2.0,58.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,318.0,1.0,0.0,0.0,2.0,0.0,25.0,8.0,4.0,5.0,4.0,2.0,0.0,0.0,0.0,230.0,1053.0
Jotschi-maven-release-workflow-test,v1.0-134,54.0,62.0,54.0,17.0,35.0,58.0,2.0,58.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,318.0,1.0,0.0,0.0,2.0,0.0,25.0,8.0,4.0,5.0,4.0,2.0,0.0,0.0,0.0,230.0,1053.0
Jotschi-maven-release-workflow-test,v1.0-135,54.0,62.0,54.0,17.0,35.0,58.0,2.0,58.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,318.0,1.0,0.0,0.0,2.0,0.0,25.0,8.0,4.0,5.0,4.0,2.0,0.0,0.0,0.0,230.0,1053.0
Jotschi-maven-release-workflow-test,v1.0-136,54.0,62.0,54.0,17.0,35.0,58.0,2.0,58.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,318.0,1.0,0.0,0.0,2.0,0.0,25.0,8.0,4.0,5.0,4.0,2.0,0.0,0.0,0.0,230.0,1053.0
Jotschi-maven-release-workflow-test,v1.0-148,54.0,62.0,54.0,17.0,35.0,58.0,2.0,58.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,318.0,1.0,0.0,0.0,2.0,0.0,25.0,8.0,4.0,5.0,4.0,2.0,0.0,0.0,0.0,230.0,1053.0
Jotschi-maven-release-workflow-test,v1.0-149,54.0,62.0,54.0,17.0,35.0,58.0,2.0,58.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,318.0,1.0,0.0,0.0,2.0,0.0,25.0,8.0,4.0,5.0,4.0,2.0,0.0,0.0,0.0,230.0,1053.0
Jotschi-maven-release-workflow-test,v1.0-150,54.0,62.0,54.0,17.0,35.0,58.0,2.0,58.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,318.0,1.0,0.0,0.0,2.0,0.0,25.0,8.0,4.0,5.0,4.0,2.0,0.0,0.0,0.0,230.0,1053.0
Jotschi-maven-release-workflow-test,v1.0-151,54.0,62.0,54.0,17.0,35.0,58.0,2.0,58.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,318.0,1.0,0.0,0.0,2.0,0.0,25.0,8.0,4.0,5.0,4.0,2.0,0.0,0.0,0.0,230.0,1053.0
Jotschi-maven-release-workflow-test,v1.0-152,54.0,62.0,54.0,17.0,35.0,58.0,2.0,58.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,318.0,1.0,0.0,0.0,2.0,0.0,25.0,8.0,4.0,5.0,4.0,2.0,0.0,0.0,0.0,230.0,1053.0
