0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
algo_euclidean_single_10,feature_staticMethods_mean,feature_cbo_mean,feature_staticMethods_std,feature_maxNestedBlocks_mean,feature_synchronizedMethods_mean,feature_stringLiteralsQty_mean,feature_dit_mean,feature_privateFields_mean,feature_uniqueWordsQty_mean,feature_returnQty_mean,feature_privateFields_std,feature_staticMethods_max,feature_publicMethods_mean,feature_protectedFields_mean,feature_maxNestedBlocks_std,feature_synchronizedMethods_sum,feature_stringLiteralsQty_std,feature_uniqueWordsQty_std,feature_totalMethods_mean,feature_anonymousClassesQty_sum
algo_euclidean_single_15,feature_modifiers_max,feature_dit_mean,feature_modifiers_std,feature_cbo_mean,feature_uniqueWordsQty_mean,feature_staticMethods_mean,feature_maxNestedBlocks_mean,feature_uniqueWordsQty_std,feature_totalMethods_mean,feature_subClassesQty_mean,feature_returnQty_mean,feature_privateMethods_mean,feature_publicMethods_mean,feature_staticMethods_std,feature_maxNestedBlocks_std,feature_dit_std,feature_subClassesQty_std,feature_cbo_std,feature_synchronizedMethods_mean,feature_modifiers_mean
algo_euclidean_single_20,feature_maxNestedBlocks_std,feature_totalMethods_mean,feature_privateFields_std,feature_uniqueWordsQty_std,feature_maxNestedBlocks_max,feature_returnQty_mean,feature_modifiers_max,feature_staticMethods_mean,feature_uniqueWordsQty_mean,feature_maxNestedBlocks_mean,feature_privateMethods_mean,feature_publicMethods_mean,feature_totalFields_mean,feature_privateFields_max,feature_privateFields_mean,feature_totalMethods_std,feature_dit_std,feature_wmc_mean,feature_publicMethods_std,feature_assignmentsQty_mean
algo_euclidean_single_25,feature_maxNestedBlocks_std,feature_maxNestedBlocks_max,feature_privateFields_std,feature_totalMethods_mean,feature_privateFields_max,feature_returnQty_mean,feature_rfc_mean,feature_staticMethods_mean,feature_privateFields_mean,feature_wmc_mean,feature_uniqueWordsQty_std,feature_assignmentsQty_mean,feature_publicMethods_mean,feature_maxNestedBlocks_mean,feature_privateMethods_mean,feature_totalMethods_std,feature_protectedFields_std,feature_variablesQty_mean,feature_rfc_max,feature_protectedFields_mean
algo_euclidean_single_5,feature_staticMethods_mean,feature_staticMethods_std,feature_staticMethods_max,feature_synchronizedMethods_mean,feature_stringLiteralsQty_mean,feature_subClassesQty_mean,feature_stringLiteralsQty_std,feature_dit_mean,feature_maxNestedBlocks_mean,feature_anonymousClassesQty_sum,feature_cbo_mean,feature_protectedFields_mean,feature_anonymousClassesQty_max,feature_privateFields_mean,feature_mathOperationsQty_mean,feature_synchronizedMethods_sum,feature_synchronizedMethods_std,feature_anonymousClassesQty_mean,feature_publicMethods_mean,feature_staticMethods_sum
algo_euclidean_single_7,feature_staticMethods_mean,feature_staticMethods_std,feature_synchronizedMethods_mean,feature_staticMethods_max,feature_dit_mean,feature_maxNestedBlocks_mean,feature_stringLiteralsQty_mean,feature_cbo_mean,feature_protectedFields_mean,feature_stringLiteralsQty_std,feature_anonymousClassesQty_sum,feature_publicMethods_mean,feature_privateFields_mean,feature_returnQty_mean,feature_synchronizedMethods_sum,feature_uniqueWordsQty_mean,feature_privateFields_std,feature_staticMethods_sum,feature_synchronizedMethods_std,feature_mathOperationsQty_mean
algo_manhattan_average_10,feature_modifiers_max,feature_staticMethods_std,feature_stringLiteralsQty_std,feature_stringLiteralsQty_max,feature_staticMethods_max,feature_subClassesQty_max,feature_anonymousClassesQty_sum,feature_privateMethods_mean,feature_subClassesQty_sum,feature_cbo_mean,feature_uniqueWordsQty_std,feature_comparisonsQty_std,feature_modifiers_std,feature_mathOperationsQty_std,feature_abstractMethods_mean,feature_stringLiteralsQty_mean,feature_abstractMethods_sum,feature_finalFields_sum,feature_privateMethods_sum,feature_comparisonsQty_mean
algo_manhattan_average_15,feature_modifiers_max,feature_modifiers_std,feature_uniqueWordsQty_std,feature_dit_mean,feature_dit_std,feature_privateMethods_mean,feature_uniqueWordsQty_mean,feature_cbo_mean,feature_cbo_std,feature_subClassesQty_std,feature_modifiers_mean,feature_staticMethods_std,feature_totalMethods_mean,feature_maxNestedBlocks_max,feature_subClassesQty_mean,feature_uniqueWordsQty_max,feature_rfc_max,feature_protectedFields_std,feature_comparisonsQty_mean,feature_wmc_mean
algo_manhattan_average_20,feature_modifiers_max,feature_maxNestedBlocks_max,feature_uniqueWordsQty_std,feature_privateMethods_mean,feature_privateFields_std,feature_privateFields_max,feature_totalMethods_std,feature_totalMethods_mean,feature_totalFields_mean,feature_dit_std,feature_maxNestedBlocks_std,feature_cbo_std,feature_protectedFields_std,feature_rfc_max,feature_finalFields_mean,feature_uniqueWordsQty_max,feature_modifiers_std,feature_uniqueWordsQty_mean,feature_publicMethods_std,feature_comparisonsQty_mean
algo_manhattan_average_25,feature_maxNestedBlocks_max,feature_privateFields_std,feature_privateFields_max,feature_maxNestedBlocks_std,feature_protectedFields_std,feature_rfc_max,feature_modifiers_max,feature_privateMethods_mean,feature_uniqueWordsQty_std,feature_totalMethods_mean,feature_dit_std,feature_totalMethods_std,feature_cbo_std,feature_comparisonsQty_mean,feature_uniqueWordsQty_max,feature_wmc_mean,feature_cbo_max,feature_returnQty_mean,feature_publicMethods_max,feature_privateFields_mean
